dataset,model,seed,epoch,train_loss,val_loss,param_movement_raw,param_movement_smooth,segment_id,is_boundary
ETTh1,DLinear,7,1,0.43550199,0.72991133,1.33342072,0.70578273,0,False
ETTh1,DLinear,7,2,0.37722475,0.6909909,0.47830511,0.58258754,0,False
ETTh1,DLinear,7,3,0.36398151,0.67491634,0.30562236,0.49936497,0,False
ETTh1,DLinear,7,4,0.35794745,0.67207324,0.21300197,0.2615247,1,True
ETTh1,DLinear,7,5,0.35611103,0.67109049,0.16647467,0.19074756,1,False
ETTh1,DLinear,7,6,0.35408442,0.66662103,0.14421941,0.15208743,1,False
ETTh1,DLinear,7,7,0.35326436,0.6661905,0.1244194,0.13007133,1,False
ETTh1,DLinear,7,8,0.35267539,0.66653959,0.11232172,0.1177581,1,False
ETTh1,DLinear,7,9,0.35382211,0.66691285,0.10292146,0.10680377,1,False
ETTh1,DLinear,7,10,0.35041278,0.65645986,0.1049085,0.09881757,1,False
ETTh1,DLinear,7,11,0.3513488,0.66002708,0.08944776,0.09256688,1,False
ETTh1,DLinear,7,12,0.35043466,0.65993623,0.08448842,0.08727234,1,False
ETTh1,DLinear,7,13,0.3495377,0.65842268,0.08106826,0.08076516,1,False
ETTh1,DLinear,7,14,0.34989415,0.66258632,0.07644876,0.07777846,1,False
ETTh1,DLinear,7,15,0.34820659,0.66046996,0.07237259,0.07479348,1,False
ETTh1,DLinear,7,16,0.3488449,0.65217123,0.07451427,0.07106752,1,False
ETTh1,DLinear,7,17,0.34912362,0.65845617,0.06956353,0.06714979,1,False
ETTh1,DLinear,7,18,0.3473166,0.65740934,0.06243847,0.06372811,1,False
ETTh1,DLinear,7,19,0.34696959,0.66041287,0.05686008,0.06118127,1,False
ETTh1,DLinear,7,20,0.35123809,0.65701834,0.05526423,0.05767045,1,False
ETTh1,DLinear,7,21,0.34686971,0.6591592,0.06178006,0.05636484,1,False
ETTh1,DLinear,7,22,0.34895225,0.65576888,0.0520094,0.05545115,1,False
ETTh1,DLinear,7,23,0.34875544,0.65515469,0.05591041,0.05488512,1,False
ETTh1,DLinear,7,24,0.34997641,0.65898875,0.05229167,0.05212745,1,False
ETTh1,DLinear,7,25,0.3470315,0.65754255,0.05243406,0.05164802,1,False
ETTh1,DLinear,7,26,0.34726412,0.66092535,0.04799169,0.05210912,1,False
ETTh1,DLinear,7,27,0.35109798,0.65984626,0.04961224,0.05045057,1,False
ETTh1,DLinear,7,28,0.34633808,0.6568967,0.05821593,0.04859134,1,False
ETTh1,DLinear,7,29,0.34603908,0.65832061,0.04399893,0.04701829,1,False
ETTh1,DLinear,7,30,0.3460518,0.65777323,0.04313789,0.04566164,1,False
ETTh1,DLinear,7,31,0.35146333,0.65757836,0.04012647,0.04328756,1,False
ETTh1,DLinear,7,32,0.34722748,0.65751014,0.04282898,0.04267925,1,False
ETTh1,DLinear,7,33,0.3456838,0.66337574,0.04634551,0.04150092,1,False
ETTh1,DLinear,7,34,0.34582011,0.65914974,0.04095738,0.04202549,1,False
ETTh1,DLinear,7,35,0.34588092,0.65558999,0.03724625,0.0412477,1,False
ETTh1,DLinear,7,36,0.34565467,0.66051009,0.04274931,0.03919859,1,False
ETTh1,DLinear,7,37,0.34574927,0.66091173,0.03894006,0.03802284,1,False
ETTh1,DLinear,7,38,0.34549325,0.65897637,0.03609994,0.03951308,1,False
ETTh1,DLinear,7,39,0.34662168,0.66025097,0.03507864,0.03829089,1,False
ETTh1,DLinear,7,40,0.34545083,0.65721281,0.04469742,0.04004511,1,False
ETTh1,DLinear,7,41,0.34879063,0.65377217,0.0366384,0.04838016,1,False
ETTh1,DLinear,7,42,0.35870536,0.65558165,0.04771113,0.04963952,1,False
ETTh1,DLinear,7,43,0.34604851,0.66065587,0.07777518,0.04904954,1,False
ETTh1,DLinear,7,44,0.34635765,0.6570272,0.04137549,0.05031431,1,False
ETTh1,DLinear,7,45,0.34618092,0.65946395,0.04174748,0.05016896,1,False
ETTh1,DLinear,7,46,0.34839215,0.65988454,0.04296225,0.04258973,1,False
ETTh1,DLinear,7,47,0.34575453,0.6572798,0.04698439,0.04122148,1,False
ETTh1,DLinear,7,48,0.34616812,0.6612846,0.03987904,0.04084622,1,False
ETTh1,DLinear,7,49,0.34704551,0.66040812,0.03453421,0.04036618,1,False
ETTh1,DLinear,7,50,0.3464928,0.65871251,0.03987121,0.03802339,1,False
ETTh1,DLinear,7,51,0.34522275,0.65699829,0.04056203,0.03861085,1,False
ETTh1,DLinear,7,52,0.3462406,0.66058623,0.03527046,0.04049798,1,False
ETTh1,DLinear,7,53,0.34563684,0.65390602,0.04281633,0.04085839,1,False
ETTh1,DLinear,7,54,0.34702678,0.66079747,0.04396989,0.03966326,1,False
ETTh1,DLinear,7,55,0.34575699,0.65534381,0.04167326,0.03943633,1,False
ETTh1,DLinear,7,56,0.34516509,0.65513111,0.03458636,0.03939726,1,False
ETTh1,DLinear,7,57,0.34853977,0.65834793,0.03413583,0.03701451,1,False
ETTh1,DLinear,7,58,0.34629824,0.65693217,0.04262096,0.0363367,1,False
ETTh1,DLinear,7,59,0.34606951,0.6568953,0.03205613,0.03678696,1,False
ETTh1,DLinear,7,60,0.3463728,0.65432597,0.03828421,0.03734464,1,False
ETTh1,DLinear,7,61,0.34643974,0.65697532,0.03683765,0.03533543,1,False
ETTh1,DLinear,7,62,0.34531181,0.65903826,0.03692425,0.03625862,1,False
ETTh1,DLinear,7,63,0.3454701,0.66038556,0.03257491,0.03477067,1,False
ETTh1,DLinear,7,64,0.34561457,0.65670449,0.03667208,0.03388043,1,False
ETTh1,DLinear,7,65,0.34526039,0.65823568,0.03084446,0.03368525,1,False
ETTh1,DLinear,7,66,0.34660521,0.65738141,0.03238643,0.03296477,1,False
ETTh1,DLinear,7,67,0.34566747,0.65709598,0.03594839,0.03214881,1,False
ETTh1,DLinear,7,68,0.34626325,0.65630957,0.02897248,0.03324506,1,False
ETTh1,DLinear,7,69,0.34600841,0.6557816,0.03259231,0.03350238,1,False
ETTh1,DLinear,7,70,0.34548043,0.66004936,0.03632572,0.03651632,1,False
ETTh1,DLinear,7,71,0.34700075,0.6618753,0.03367301,0.03768637,1,False
ETTh1,DLinear,7,72,0.34583203,0.65968233,0.0510181,0.03834446,1,False
ETTh1,DLinear,7,73,0.34555787,0.65784027,0.03482269,0.04153347,1,False
ETTh1,DLinear,7,74,0.35105857,0.65668067,0.03588278,0.04078509,1,False
ETTh1,DLinear,7,75,0.34574127,0.65888679,0.05227079,0.03773193,1,False
ETTh1,DLinear,7,76,0.34692994,0.65866461,0.02993109,0.04045812,1,False
ETTh1,DLinear,7,77,0.34997497,0.65659794,0.03575228,0.04134387,1,False
ETTh1,DLinear,7,78,0.34895628,0.65832754,0.04845365,0.03688328,1,False
ETTh1,DLinear,7,79,0.34537346,0.65686571,0.04031152,0.03862132,1,False
ETTh1,DLinear,7,80,0.34467984,0.65648507,0.02996785,0.03957767,1,False
ETTh1,MLP,7,1,0.64682745,0.95796577,1.9345258,1.12427799,0,False
ETTh1,MLP,7,2,0.4569186,0.82419061,0.86722371,0.94067529,0,False
ETTh1,MLP,7,3,0.41703945,0.76205613,0.57108446,0.81750373,0,False
ETTh1,MLP,7,4,0.40087208,0.73178239,0.38986719,0.48648136,1,True
ETTh1,MLP,7,5,0.3906803,0.72300554,0.32481751,0.36181814,1,False
ETTh1,MLP,7,6,0.38311418,0.70401062,0.27941393,0.29052926,1,False
ETTh1,MLP,7,7,0.38014081,0.69965576,0.24390761,0.24998406,1,False
ETTh1,MLP,7,8,0.37579468,0.6907274,0.21464006,0.22027598,1,False
ETTh1,MLP,7,9,0.37640365,0.68612567,0.18714118,0.19442367,1,False
ETTh1,MLP,7,10,0.37041094,0.68661583,0.1762771,0.17501462,1,False
ETTh1,MLP,7,11,0.37092151,0.68422171,0.15015237,0.15954413,1,False
ETTh1,MLP,7,12,0.37085167,0.67685818,0.14686238,0.14664135,1,False
ETTh1,MLP,7,13,0.36740802,0.67883883,0.13728759,0.135106,1,False
ETTh1,MLP,7,14,0.36457493,0.67661285,0.12262729,0.1284185,1,False
ETTh1,MLP,7,15,0.36518439,0.67471353,0.11860036,0.12145216,1,False
ETTh1,MLP,7,16,0.36254822,0.67370639,0.11671486,0.1156894,1,False
ETTh1,MLP,7,17,0.36260639,0.67641829,0.11203067,0.1117787,1,False
ETTh1,MLP,7,18,0.36070837,0.67773094,0.10847383,0.10792151,1,False
ETTh1,MLP,7,19,0.36072434,0.67204203,0.10307379,0.10386666,1,False
